vehicle_id,total_error_count,avg_cycle_time,cycle_time_variance,rework_ratio,vendor_defect_ratio,avg_torque,torque_deviation,warranty_flag,feature_snapshot_timestamp
00033e5e-3895-438b-95b1-1f1c2030f388,18,51.1717,46.1321,0.0,0.0,97.5107,6.1445,0,2026-02-13 23:02:28
00039b26-9fdf-46dc-8eb0-c59186e0e613,22,47.7979,40.4025,0.0,0.3333,100.765,5.34133,0,2026-02-13 23:02:28
0004fb98-af78-495b-9b78-59142e485d1a,42,49.5058,29.122,0.12,0.0,100.701,6.26858,0,2026-02-13 23:02:28
000c3104-e1af-4f17-af56-2b7bca351981,33,49.9503,28.7356,0.08,0.0,98.8843,5.33685,0,2026-02-13 23:02:28
000dcdd7-8b3e-4f38-80c0-f8042eb8cc33,37,50.6646,38.373,0.08,0.0,101.016,6.61188,0,2026-02-13 23:02:28
0010cb36-776a-4a6a-af15-de32e3ba1561,28,51.4271,27.3163,0.04,0.0,99.334,6.06448,0,2026-02-13 23:02:28
00177cd0-5747-4395-aa56-168117dc867a,17,47.9972,33.5728,0.1,0.0,101.445,4.50778,0,2026-02-13 23:02:28
001c3d68-f56f-4905-be01-e801619ef2cf,45,49.783,29.3415,0.08,0.0,99.8055,4.87989,1,2026-02-13 23:02:28
001c5b9e-e16a-486f-b0a4-ece87daf5cd7,14,52.1035,24.8251,0.0,0.3333,99.3394,6.06342,1,2026-02-13 23:02:28
00209cbf-ba4d-46e3-a79d-b0d6fbe7b292,15,49.5626,22.7127,0.3,0.0,101.59,4.27746,0,2026-02-13 23:02:28
00210acd-1432-4bef-8c13-533cfa31b5d4,26,49.0593,29.009,0.08,0.0,101.342,6.05619,0,2026-02-13 23:02:28
0022080f-4f50-4f71-9f71-283f3833c08a,42,48.8548,45.038,0.0,0.0,99.6065,5.57532,0,2026-02-13 23:02:28
0024e149-4b4f-454d-b425-d718e86814b1,15,51.4304,35.7412,0.1,0.0,99.9975,6.14471,0,2026-02-13 23:02:28
002678f3-3f45-4992-85b1-a35c9fb51c79,17,48.072,47.3235,0.1,0.0,103.117,4.15685,0,2026-02-13 23:02:28
002799c5-eb64-4aca-b161-477229d490d1,24,49.916,46.5413,0.0,0.0,98.2236,6.1018,0,2026-02-13 23:02:28
002e11bf-7c3e-4104-adcb-520ad22ac560,37,50.7069,27.8333,0.04,0.0,99.3413,5.9742,0,2026-02-13 23:02:28
002ee0e8-fb87-4208-89b3-67880a3e3163,36,50.6116,30.1479,0.2,0.0,99.1371,6.3872,0,2026-02-13 23:02:28
